id,matter_mg,anti_mg,confinement_pct,efficiency_pct,reactivity_pct,field_gradient_pct,speed_pct,total_energy_j,avg_power_w,stability_index,pair_events,threshold_events,gamma_gamma_share_pct,gamma_meson_share_pct,meson_share_pct
129,300,300,75,60,12,15,30,1.700200e+13,2.919299e+12,8.642587e-01,2.094736e+25,4.276601e+25,6.213936e+01,3.444223e+01,3.418416e+00
130,300,300,75,60,12,35,30,1.655024e+13,2.841731e+12,7.992139e-01,1.993210e+25,4.499244e+25,5.851800e+01,3.804648e+01,3.435519e+00
131,300,300,75,60,12,55,30,1.602841e+13,2.752131e+12,7.285552e-01,1.861302e+25,4.703460e+25,5.467170e+01,4.187047e+01,3.457827e+00
132,300,300,75,60,12,75,30,1.545454e+13,2.653596e+12,6.558765e-01,1.712296e+25,4.876159e+25,5.074030e+01,4.577836e+01,3.481334e+00
133,300,300,75,60,25,15,30,2.064338e+13,3.544536e+12,8.638143e-01,2.547033e+25,5.185252e+25,6.220156e+01,3.438177e+01,3.416674e+00
134,300,300,75,60,25,35,30,2.023406e+13,3.474255e+12,8.005696e-01,2.442394e+25,5.490868e+25,5.860372e+01,3.796310e+01,3.433176e+00
135,300,300,75,60,25,55,30,1.973434e+13,3.388452e+12,7.289108e-01,2.296693e+25,5.782265e+25,5.474931e+01,4.179493e+01,3.455755e+00
136,300,300,75,60,25,75,30,1.917828e+13,3.292975e+12,6.555487e-01,2.129034e+25,6.043985e+25,5.080540e+01,4.571496e+01,3.479636e+00
137,300,300,75,60,45,15,30,2.377751e+13,4.082677e+12,8.635864e-01,2.939769e+25,5.960759e+25,6.228855e+01,3.429721e+01,3.414238e+00
138,300,300,75,60,45,35,30,2.343184e+13,4.023325e+12,8.006252e-01,2.836567e+25,6.343196e+25,5.871997e+01,3.785003e+01,3.429999e+00
139,300,300,75,60,45,55,30,2.299537e+13,3.948381e+12,7.277665e-01,2.681916e+25,6.727937e+25,5.482469e+01,4.172157e+01,3.453743e+00
140,300,300,75,60,45,75,30,2.252172e+13,3.867053e+12,6.560043e-01,2.508193e+25,7.084423e+25,5.090910e+01,4.561397e+01,3.476931e+00
141,300,300,75,60,70,15,30,2.593160e+13,4.452540e+12,8.639421e-01,3.211595e+25,6.489960e+25,6.236200e+01,3.422582e+01,3.412181e+00
142,300,300,75,60,70,35,30,2.564369e+13,4.403106e+12,7.999974e-01,3.113848e+25,6.924670e+25,5.883889e+01,3.773437e+01,3.426748e+00
143,300,300,75,60,70,55,30,2.528617e+13,4.341719e+12,7.278497e-01,2.959030e+25,7.380810e+25,5.494583e+01,4.160366e+01,3.450509e+00
144,300,300,75,60,70,75,30,2.488435e+13,4.272725e+12,6.549876e-01,2.778939e+25,7.814855e+25,5.099955e+01,4.552587e+01,3.474572e+00
145,300,300,75,75,12,15,30,2.125036e+13,3.648757e+12,8.640045e-01,2.094579e+25,4.275837e+25,6.214282e+01,3.443886e+01,3.418318e+00
146,300,300,75,75,12,35,30,2.069644e+13,3.553648e+12,8.001806e-01,1.995388e+25,4.498595e+25,5.854492e+01,3.802029e+01,3.434783e+00
147,300,300,75,75,12,55,30,2.002375e+13,3.438144e+12,7.273219e-01,1.859505e+25,4.701797e+25,5.465960e+01,4.188225e+01,3.458149e+00
148,300,300,75,75,12,75,30,1.931545e+13,3.316526e+12,6.556092e-01,1.711929e+25,4.875544e+25,5.073946e+01,4.577918e+01,3.481356e+00
149,300,300,75,75,25,15,30,2.580508e+13,4.430818e+12,8.639261e-01,2.546569e+25,5.186600e+25,6.219153e+01,3.439152e+01,3.416955e+00
150,300,300,75,75,25,35,30,2.529119e+13,4.342580e+12,8.004022e-01,2.442769e+25,5.489451e+25,5.861344e+01,3.795365e+01,3.432910e+00
151,300,300,75,75,25,55,30,2.465461e+13,4.233277e+12,7.274435e-01,2.293981e+25,5.781638e+25,5.472699e+01,4.181666e+01,3.456351e+00
152,300,300,75,75,25,75,30,2.398504e+13,4.118311e+12,6.567813e-01,2.132742e+25,6.042716e+25,5.084534e+01,4.567607e+01,3.478594e+00
153,300,300,75,75,45,15,30,2.972448e+13,5.103792e+12,8.639817e-01,2.939050e+25,5.963211e+25,6.227422e+01,3.431114e+01,3.414639e+00
154,300,300,75,75,45,35,30,2.928003e+13,5.027478e+12,7.992579e-01,2.833940e+25,6.344261e+25,5.869602e+01,3.787333e+01,3.430653e+00
155,300,300,75,75,45,55,30,2.874604e+13,4.935790e+12,7.279991e-01,2.682439e+25,6.727744e+25,5.482945e+01,4.171693e+01,3.453616e+00
156,300,300,75,75,45,75,30,2.815676e+13,4.834608e+12,6.565370e-01,2.509197e+25,7.084626e+25,5.091660e+01,4.560666e+01,3.476736e+00
